Change Component Comment : Designator=R9 Old Comment=25R New Comment=25R2
Change component parameters: Designator = "R9" ("R9"); Footprint = "RES 0603_1608"; UniqueID = "\WFIOPQOZ\WESEZTZB" ("\WFIOPQOZ\WESEZTZB")
Change component parameters (AddParameter): Name = "Component Type"; Value = "SMD resistor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.mouser.de/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_11-1669912.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Created from"; Value = "DHufnagel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Created On"; Value = "14.12.2020 16:17:14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Last Updated"; Value = "02.03.2021 14:07:32"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Live Cycle Status"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "YAGEO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RT0603BRD0725R2L"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartID"; Value = "213"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock number"; Value = "not stored"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "603-RT0603BRD0725R2L"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Resistor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "25R2"; VariantName = "[No Variations]"
