Altium Designer Pick and Place Locations
C:\Users\Tom Gaupp\Documents\uz_ext_voltage_measurement_800v\Project Outputs for uz_ext_voltage_measurement_800v\Rev 01\Pick Place\uz_ext_voltage_measurement_800v_Rev 01.csv

========================================================================================================================
File Design Information:

Date:       27.03.24
Time:       11:05
Revision:   0340894307a575562a912a024d4ae6c54cb7af87
Variant:    No variations
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"D2","1SS356VMFHTE17","31.5000","31.5000","27.0000","27.0000","31.5000","28.0500","0","1SS356VMFHTE-17","TopLayer"
"D1","1SS356VMFHTE17","31.5000","31.5000","31.0000","31.0000","31.5000","29.9500","180","1SS356VMFHTE-17","TopLayer"
"J2","23117652","113.6600","115.0800","32.6950","27.1545","113.6600","32.6950","90","2311765-2","TopLayer"
"J1","7460719","10.3400","15.4200","62.5000","67.5800","10.3400","62.5000","0","7460719_M8","TopLayer"
"J4","7461098","10.4600","15.5400","10.3800","15.4600","10.4600","10.3800","0","7461098_M6","TopLayer"
"J5","BNC5-J-P-GN-ST-TH2D_new","92.6955","92.5605","12.8256","12.9196","92.5605","12.9196","90","BNC5-J-P-GN-ST-TH2D_new","TopLayer"
"C15","C_0603","47.0000","47.0000","48.5000","48.5000","47.7000","48.5000","180","10 µF","TopLayer"
"C10","C_0603","64.5000","64.5000","27.5000","27.5000","64.5000","26.8000","90","1 µF","TopLayer"
"C7","C_0603","64.5000","64.5000","30.2000","30.2000","64.5000","29.5000","90","1 µF","TopLayer"
"C2","C_0603","52.9040","52.9040","36.2960","36.2960","53.6040","36.2960","180","1 µF","TopLayer"
"C1","C_0603","35.5000","35.5000","37.0000","37.0000","34.8000","37.0000","0","1 µF","TopLayer"
"C16","C_0603","58.8000","58.8000","49.0000","49.0000","59.5000","49.0000","180","10 µF","TopLayer"
"C12","C_0603","79.5000","79.5000","59.5000","59.5000","80.2000","59.5000","180","1 µF","TopLayer"
"C11","C_0603","75.0000","75.0000","23.5000","23.5000","74.3000","23.5000","0","1 pF","TopLayer"
"C3","C_0603","75.0000","75.0000","35.0000","35.0000","74.3000","35.0000","0","1 pF","TopLayer"
"C14","C_0603","79.5000","79.5000","51.5000","51.5000","80.2000","51.5000","180","1 µF","TopLayer"
"C13","C_0603","79.5000","79.5000","55.5000","55.5000","80.2000","55.5000","180","1 µF","TopLayer"
"C5","C_0603","52.9040","52.9040","33.7960","33.7960","53.6040","33.7960","180","100 nF","TopLayer"
"C4","C_0603","35.5000","35.5000","34.5000","34.5000","34.8000","34.5000","0","100 nF","TopLayer"
"C8","C_0603","24.0000","24.0000","29.0000","29.0000","24.0000","28.3000","90","100 pF","TopLayer"
"C9","C_0603","69.2428","69.2428","29.2572","29.2572","68.5428","29.2572","0","1 µF","TopLayer"
"C6","C_0603","81.3713","81.3713","29.0689","29.0689","81.3713","28.3689","90","100 nF","TopLayer"
